,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
2020/6/30,27.7,8,1,22.2,8,1,90,8,1,曇後雨,8,1,雨時々曇,8,1
2020/7/1,26.7,8,1,22.7,8,1,89,8,1,曇時々雨,8,1,雨後曇,8,1
2020/7/2,30.8,8,1,21.7,8,1,72,8,1,晴,8,1,薄曇一時晴,8,1
2020/7/3,28.7,8,1,20.3,8,1,80,8,1,曇時々雨,8,1,大雨,8,1
2020/7/4,27.7,8,1,20.0,8,1,90,8,1,曇時々雨,8,1,曇一時雨,8,1
2020/7/5,28.1,8,1,23.2,8,1,87,8,1,曇時々雨,8,1,曇後雨,8,1
2020/7/6,26.9,8,1,22.8,8,1,92,8,1,雨時々曇,8,1,雨時々曇,8,1
2020/7/7,29.3,8,1,25.1,8,1,84,8,1,曇時々雨,8,1,曇時々雨,8,1
2020/7/8,28.5,8,1,23.6,8,1,83,8,1,曇時々雨,8,1,雨時々曇,8,1
2020/7/9,26.1,8,1,22.3,8,1,96,8,1,雨一時曇,8,1,曇時々雨,8,1
2020/7/10,28.1,8,1,22.7,8,1,90,8,1,雨時々曇,8,1,曇,8,1
2020/7/11,31.2,8,1,24.8,8,1,82,8,1,曇時々雨,8,1,曇時々雨、雷を伴う,8,1
2020/7/12,32.5,8,1,19.9,8,1,81,8,1,曇,8,1,雨時々曇,8,1
2020/7/13,25.2,8,1,18.7,8,1,90,8,1,曇時々雨,8,1,雨,8,1
2020/7/14,23.7,8,1,20.6,8,1,97,8,1,雨後曇,8,1,曇,8,1
2020/7/15,22.0,8,1,17.7,8,1,97,8,1,雨,8,1,雨後一時曇,8,1
2020/7/16,24.6,8,1,17.4,8,1,86,8,1,曇,8,1,曇後雨,8,1
2020/7/17,20.6,8,1,18.1,8,1,98,8,1,雨後時々曇,8,1,雨一時曇,8,1
2020/7/18,22.0,8,1,19.2,8,1,100,8,1,雨時々曇,8,1,曇,8,1
2020/7/19,29.3,8,1,21.4,8,1,90,8,1,晴一時曇,8,1,曇一時晴,8,1
2020/7/20,31.9,8,1,23.1,8,1,80,8,1,薄曇,8,1,曇時々雨,8,1
2020/7/21,29.0,8,1,22.5,8,1,88,8,1,曇,8,1,曇時々雨,8,1
2020/7/22,29.9,8,1,24.9,8,1,89,8,1,曇時々雨,8,1,曇後時々雨、雷を伴う,8,1
2020/7/23,26.0,8,1,22.1,8,1,99,8,1,雨,8,1,曇一時雨,8,1
2020/7/24,27.2,8,1,21.6,8,1,94,8,1,曇時々雨,8,1,曇時々雨,8,1
2020/7/25,27.4,8,1,23.7,8,1,98,8,1,雨時々曇,8,1,曇時々雨,8,1
2020/7/26,31.2,8,1,23.5,8,1,95,8,1,曇時々雨一時晴,8,1,曇一時雨、雷を伴う,8,1
2020/7/27,30.7,8,1,23.9,8,1,88,8,1,曇後時々雨,8,1,雨時々曇,8,1
2020/7/28,31.0,8,1,23.9,8,1,90,8,1,雨時々曇,8,1,雨時々曇,8,1
2020/7/29,25.6,8,1,21.3,8,1,87,8,1,曇時々雨,8,1,曇時々雨,8,1
2020/7/30,26.5,8,1,20.4,8,1,84,8,1,曇,8,1,曇,8,1
2020/7/31,29.6,8,1,22.4,8,1,90,8,1,曇時々雨,8,1,曇後時々雨,8,1
2020/8/1,31.8,8,1,21.8,8,1,77,8,1,晴,8,1,晴一時曇,8,1
2020/8/2,31.5,8,1,22.6,8,1,75,8,1,晴時々曇,8,1,晴,8,1
2020/8/3,32.3,8,1,22.3,8,1,74,8,1,晴,8,1,晴,8,1
2020/8/4,33.1,8,1,24.5,8,1,77,8,1,晴,8,1,晴後時々曇,8,1
2020/8/5,34.2,8,1,25.7,8,1,76,8,1,晴,8,1,晴後一時曇,8,1
2020/8/6,33.1,8,1,25.5,8,1,79,8,1,晴時々薄曇,8,1,晴,8,1
2020/8/7,35.4,8,1,26.0,8,1,71,8,1,薄曇,8,1,曇一時晴,8,1
2020/8/8,32.3,8,1,25.1,8,1,79,8,1,曇後晴,8,1,曇一時晴,8,1
2020/8/9,34.7,8,1,23.4,8,1,77,8,1,薄曇,8,1,薄曇時々晴,8,1
2020/8/10,35.2,8,1,26.9,8,1,73,8,1,薄曇,8,1,晴時々薄曇,8,1
2020/8/11,37.3,8,1,27.0,8,1,67,8,1,晴,8,1,快晴,8,1
2020/8/12,35.8,8,1,27.3,8,1,79,8,1,晴後曇一時雨、雷を伴う,8,1,曇一時雨後晴,8,1
2020/8/13,36.1,8,1,25.4,8,1,82,8,1,晴後時々曇一時雨、雷を伴う,8,1,晴,8,1
2020/8/14,34.2,8,1,24.9,8,1,78,8,1,晴,8,1,晴後一時曇,8,1
2020/8/15,36.1,8,1,26.9,8,1,76,8,1,晴,8,1,晴後薄曇,8,1
2020/8/16,35.4,8,1,28.0,8,1,74,8,1,晴、雷を伴う,8,1,曇後晴,8,1
2020/8/17,36.5,8,1,27.2,8,1,76,8,1,曇後一時晴,8,1,曇一時雨,8,1
2020/8/18,34.3,8,1,27.8,8,1,71,8,1,晴一時曇,8,1,曇時々晴,8,1
2020/8/19,34.2,8,1,25.6,8,1,72,8,1,晴時々薄曇,8,1,晴一時薄曇,8,1
2020/8/20,34.8,8,1,25.8,8,1,74,8,1,晴,8,1,快晴,8,1
2020/8/21,36.0,8,1,26.0,8,1,72,8,1,晴,8,1,晴,8,1
2020/8/22,35.2,8,1,24.0,8,1,75,8,1,晴時々曇,8,1,曇時々雨、雷を伴う,8,1
2020/8/23,29.4,8,1,23.2,8,1,87,8,1,曇時々大雨、雷を伴う,8,1,晴時々曇一時雨,8,1
2020/8/24,32.3,8,1,23.0,8,1,79,8,1,晴一時曇,8,1,曇一時晴,8,1
2020/8/25,32.2,8,1,24.8,8,1,75,8,1,晴,8,1,晴,8,1
2020/8/26,34.0,8,1,24.3,8,1,77,8,1,晴,8,1,晴,8,1
2020/8/27,33.6,8,1,26.3,8,1,79,8,1,晴一時雨,8,1,晴後時々曇,8,1
2020/8/28,34.5,8,1,27.0,8,1,76,8,1,晴一時曇,8,1,晴,8,1
2020/8/29,35.0,8,1,26.9,8,1,73,8,1,晴,8,1,薄曇時々晴,8,1
2020/8/30,34.9,8,1,26.6,8,1,73,8,1,晴,8,1,晴後薄曇,8,1
2020/8/31,32.6,8,1,22.7,8,1,80,8,1,曇時々晴,8,1,曇時々雨,8,1
2020/9/1,27.4,8,1,21.9,8,1,85,8,1,曇,8,1,曇時々雨,8,1
2020/9/2,32.1,8,1,24.0,8,1,93,8,1,曇時々晴一時雨、雷を伴う,8,1,曇後時々雨一時晴,8,1
2020/9/3,32.7,8,1,26.4,8,1,85,8,1,晴時々曇一時雨,8,1,薄曇時々晴,8,1
2020/9/4,35.1,8,1,25.1,8,1,76,8,1,晴,8,1,曇後晴,8,1
2020/9/5,34.2,8,1,25.3,8,1,79,8,1,晴一時曇,8,1,曇時々雨、雷を伴う,8,1
2020/9/6,29.5,8,1,22.5,8,1,94,8,1,曇時々雨一時晴、雷を伴う,8,1,曇時々雨、雷を伴う,8,1
2020/9/7,31.2,8,1,24.2,8,1,93,8,1,曇時々雨、雷を伴う,8,1,曇一時雨後晴,8,1
2020/9/8,34.2,8,1,26.9,8,1,73,8,1,晴後一時曇,8,1,薄曇後晴,8,1
2020/9/9,33.6,8,1,25.2,8,1,72,8,1,晴,8,1,薄曇時々晴一時雨,8,1
2020/9/10,31.7,8,1,25.2,8,1,80,8,1,曇一時晴,8,1,晴,8,1
2020/9/11,32.5,8,1,24.9,8,1,79,8,1,晴時々曇,8,1,曇時々雨,8,1
2020/9/12,27.7,8,1,22.0,8,1,97,8,1,雨時々曇,8,1,雨時々曇後晴,8,1
2020/9/13,27.8,8,1,20.0,8,1,89,8,1,曇後一時雨,8,1,雨時々曇,8,1
2020/9/14,27.2,8,1,20.9,8,1,86,8,1,曇後一時雨,8,1,曇一時雨,8,1
2020/9/15,27.7,8,1,20.9,8,1,82,8,1,曇,8,1,曇時々晴一時雨,8,1
2020/9/16,28.1,8,1,21.2,8,1,81,8,1,曇,8,1,曇時々雨,8,1
2020/9/17,28.4,8,1,22.1,8,1,88,8,1,曇,8,1,曇後時々晴,8,1
2020/9/18,33.4,8,1,26.4,8,1,74,8,1,曇,8,1,晴時々曇,8,1
2020/9/19,27.1,8,1,22.6,8,1,78,8,1,曇,8,1,曇,8,1
2020/9/20,23.7,8,1,20.8,8,1,80,8,1,曇時々雨,8,1,曇時々雨,8,1
2020/9/21,26.1,8,1,19.7,8,1,78,8,1,曇後晴,8,1,晴時々薄曇,8,1
2020/9/22,27.7,8,1,19.1,8,1,76,8,1,曇,8,1,雨,8,1
2020/9/23,22.7,8,1,18.6,8,1,95,8,1,雨時々曇,8,1,雨時々曇,8,1
2020/9/24,22.2,8,1,17.9,8,1,92,8,1,雨時々曇,8,1,雨時々曇,8,1
2020/9/25,20.8,8,1,17.8,8,1,95,8,1,雨,8,1,雨時々曇,8,1
2020/9/26,20.0,8,1,17.8,8,1,97,8,1,雨,8,1,曇時々雨,8,1
2020/9/27,23.5,8,1,17.6,8,1,88,8,1,曇後一時晴,8,1,曇一時雨後晴,8,1
2020/9/28,27.4,8,1,16.0,8,1,71,8,1,晴,8,1,曇時々晴後一時雨,8,1
2020/9/29,23.1,8,1,16.7,8,1,67,8,1,曇,8,1,薄曇後時々晴,8,1
2020/9/30,25.4,8,1,14.7,8,1,66,8,1,晴後一時薄曇,8,1,曇後時々雨,8,1
2020/10/1,24.3,8,1,17.1,8,1,85,8,1,曇時々晴一時雨,8,1,快晴,8,1
2020/10/2,26.7,8,1,16.2,8,1,72,8,1,快晴,8,1,曇時々晴,8,1
2020/10/3,26.3,8,1,18.4,8,1,74,8,1,曇時々晴,8,1,曇,8,1
2020/10/4,26.2,8,1,19.5,8,1,77,8,1,曇時々雨,8,1,曇一時雨,8,1
2020/10/5,24.8,8,1,20.1,8,1,81,8,1,晴一時雨,8,1,曇一時晴,8,1
2020/10/6,24.8,8,1,17.9,8,1,52,8,1,曇,8,1,晴時々曇,8,1
2020/10/7,23.9,8,1,14.6,8,1,73,8,1,曇一時晴後雨,8,1,雨,8,1
2020/10/8,15.5,8,1,13.8,8,1,99,8,1,雨,8,1,雨,8,1
2020/10/9,15.4,8,1,13.8,8,1,99,8,1,雨,8,1,雨,8,1
2020/10/10,17.1,8,1,13.8,8,1,100,8,1,大雨,8,1,曇時々雨,8,1
2020/10/11,23.3,8,1,17.0,8,1,91,8,1,曇時々雨,8,1,曇時々雨,8,1
2020/10/12,25.1,8,1,18.6,8,1,87,8,1,曇後一時晴,8,1,曇時々晴,8,1
2020/10/13,26.7,8,1,19.0,8,1,79,8,1,晴時々曇,8,1,曇時々晴,8,1
2020/10/14,23.2,8,1,18.4,8,1,67,8,1,曇一時晴,8,1,曇,8,1
2020/10/15,19.7,8,1,14.7,8,1,83,8,1,雨時々曇,8,1,曇,8,1
2020/10/16,19.5,8,1,13.9,8,1,59,8,1,曇時々晴,8,1,曇時々雨,8,1
2020/10/17,16.0,8,1,11.5,8,1,93,8,1,雨,8,1,雨後一時曇,8,1
2020/10/18,19.8,8,1,11.3,8,1,83,8,1,曇一時晴,8,1,晴後一時曇,8,1
2020/10/19,17.1,8,1,11.2,8,1,89,8,1,曇後雨,8,1,曇一時雨,8,1
2020/10/20,21.0,8,1,10.5,8,1,75,8,1,曇後晴,8,1,晴,8,1
2020/10/21,21.6,8,1,11.9,8,1,69,8,1,晴,8,1,曇一時雨,8,1
2020/10/22,22.1,8,1,14.2,8,1,70,8,1,曇,8,1,曇,8,1
2020/10/23,17.9,8,1,14.3,8,1,93,8,1,雨時々曇,8,1,曇時々晴一時雨,8,1
2020/10/24,21.2,8,1,12.7,8,1,56,8,1,晴,8,1,快晴,8,1
2020/10/25,21.3,8,1,11.4,8,1,55,8,1,快晴,8,1,晴後一時薄曇,8,1
2020/10/26,22.9,8,1,10.7,8,1,65,8,1,晴一時曇,8,1,晴時々曇,8,1
2020/10/27,20.8,8,1,13.3,8,1,65,8,1,晴時々曇,8,1,晴時々曇,8,1
2020/10/28,20.2,8,1,13.1,8,1,73,8,1,曇,8,1,曇後晴,8,1
2020/10/29,22.8,8,1,13.0,8,1,55,8,1,晴,8,1,曇,8,1
2020/10/30,18.5,8,1,11.1,8,1,47,8,1,曇後時々晴,8,1,晴,8,1
2020/10/31,19.2,8,1,9.2,8,1,54,8,1,快晴,8,1,晴,8,1
2020/11/1,19.9,8,1,9.0,8,1,69,8,1,曇,8,1,薄曇時々晴,8,1
2020/11/2,23.6,8,1,11.6,8,1,78,8,1,曇時々晴後一時雨,8,1,雨後一時曇,8,1
2020/11/3,17.1,8,1,12.8,8,1,92,8,1,曇,8,1,晴一時曇,8,1
2020/11/4,18.6,8,1,9.8,8,1,47,8,1,晴,8,1,晴,8,1
2020/11/5,19.4,8,1,9.1,8,1,56,8,1,快晴,8,1,曇時々晴,8,1
2020/11/6,16.2,8,1,10.6,8,1,67,5,1,曇,8,1,曇,8,1
2020/11/7,20.6,8,1,11.5,8,1,77,8,1,曇,8,1,曇時々雨,8,1
2020/11/8,22.4,8,1,13.5,8,1,75,8,1,曇,8,1,曇時々晴,8,1
2020/11/9,18.3,8,1,10.5,8,1,44,8,1,晴,8,1,晴時々曇,8,1
2020/11/10,16.9,8,1,8.6,8,1,50,8,1,快晴,8,1,晴一時曇,8,1
2020/11/11,16.9,8,1,8.3,8,1,48,8,1,晴,8,1,晴,8,1
2020/11/12,13.1,8,1,6.2,8,1,63,8,1,曇一時晴,8,1,曇,8,1
2020/11/13,19.0,8,1,9.7,8,1,67,8,1,晴,8,1,快晴,8,1
2020/11/14,20.3,8,1,10.4,8,1,56,8,1,快晴,8,1,快晴,8,1
2020/11/15,18.6,8,1,7.5,8,1,65,8,1,晴,8,1,晴時々曇,8,1
2020/11/16,21.4,8,1,9.1,8,1,66,8,1,晴,8,1,快晴,8,1
2020/11/17,20.7,8,1,10.8,8,1,62,8,1,快晴,8,1,晴後薄曇,8,1
2020/11/18,21.4,8,1,10.3,8,1,77,8,1,晴一時曇,8,1,晴後薄曇,8,1
2020/11/19,24.9,8,1,13.2,8,1,74,8,1,晴一時薄曇,8,1,薄曇一時晴,8,1
2020/11/20,23.9,8,1,18.5,8,1,73,8,1,曇,8,1,曇一時晴,8,1
2020/11/21,20.2,8,1,11.1,8,1,46,8,1,快晴,8,1,快晴,8,1
2020/11/22,19.3,8,1,8.5,8,1,66,8,1,晴,8,1,晴時々曇,8,1
2020/11/23,20.9,8,1,11.4,8,1,54,8,1,晴後曇,8,1,曇,8,1
2020/11/24,13.3,8,1,10.1,8,1,56,8,1,曇時々雨,8,1,雨時々曇,8,1
2020/11/25,12.1,8,1,9.2,8,1,94,8,1,雨後曇,8,1,曇時々晴,8,1
2020/11/26,18.6,8,1,9.2,8,1,81,8,1,晴,8,1,曇時々晴,8,1
2020/11/27,13.2,8,1,10.2,8,1,78,8,1,曇一時晴,8,1,曇後一時晴,8,1
2020/11/28,17.3,8,1,8.8,8,1,56,8,1,晴,8,1,曇一時晴,8,1
2020/11/29,13.7,8,1,7.5,8,1,56,8,1,曇,8,1,晴,8,1
2020/11/30,14.9,8,1,5.2,8,1,69,8,1,晴,8,1,晴時々曇,8,1
2020/12/1,14.9,8,1,5.6,8,1,66,8,1,晴,8,1,晴後時々曇,8,1
2020/12/2,10.2,8,1,7.0,8,1,81,8,1,曇時々雨,8,1,雨時々曇,8,1
2020/12/3,10.6,8,1,6.7,8,1,91,8,1,曇,8,1,晴一時曇,8,1
2020/12/4,13.9,8,1,5.5,8,1,61,8,1,晴後一時曇,8,1,晴後曇一時雨,8,1
2020/12/5,7.7,8,1,4.4,8,1,86,8,1,雨後時々曇,8,1,曇後晴,8,1
2020/12/6,13.5,8,1,4.4,8,1,80,8,1,晴時々曇,8,1,快晴,8,1
2020/12/7,16.1,8,1,4.7,8,1,71,8,1,快晴,8,1,晴一時曇,8,1
2020/12/8,17.2,8,1,5.8,8,1,66,8,1,晴後時々曇,8,1,曇,8,1
2020/12/9,12.2,8,1,7.9,8,1,61,8,1,曇,8,1,曇後時々雨,8,1
2020/12/10,12.2,8,1,6.9,8,1,72,8,1,曇一時雨,8,1,晴一時曇,8,1
2020/12/11,14.4,8,1,5.3,8,1,76,8,1,曇一時晴,8,1,曇,8,1
2020/12/12,15.0,8,1,8.3,8,1,70,8,1,曇,8,1,晴時々曇,8,1
2020/12/13,15.4,8,1,5.9,8,1,72,8,1,晴後薄曇,8,1,晴一時曇,8,1
2020/12/14,13.1,8,1,5.5,8,1,62,8,1,曇一時晴,8,1,曇後晴,8,1
2020/12/15,11.3,8,1,2.0,8,1,45,8,1,晴一時曇,8,1,快晴,8,1
2020/12/16,9.6,8,1,0.5,8,1,43,8,1,晴時々曇,8,1,快晴,8,1
2020/12/17,9.4,8,1,-0.1,8,1,42,8,1,快晴,8,1,快晴,8,1
2020/12/18,11.6,8,1,0.5,8,1,52,8,1,晴,8,1,晴,8,1
2020/12/19,9.4,8,1,1.6,8,1,48,8,1,曇時々晴,8,1,快晴,8,1
2020/12/20,9.4,8,1,-0.6,8,1,45,8,1,晴,8,1,晴,8,1
2020/12/21,11.2,8,1,0.1,8,1,40,8,1,快晴,8,1,快晴,8,1
2020/12/22,11.7,8,1,0.5,8,1,61,8,1,晴,8,1,快晴,8,1
2020/12/23,14.1,8,1,1.2,8,1,54,8,1,快晴,8,1,晴時々薄曇,8,1
2020/12/24,12.9,8,1,2.6,8,1,56,8,1,曇一時晴,8,1,薄曇一時晴,8,1
2020/12/25,14.0,8,1,4.7,8,1,49,8,1,晴,8,1,晴,8,1
2020/12/26,11.8,8,1,1.5,8,1,51,8,1,晴,8,1,晴後曇,8,1
2020/12/27,12.7,8,1,3.4,8,1,59,8,1,曇後晴,8,1,曇一時晴,8,1
2020/12/28,13.5,8,1,6.2,8,1,72,8,1,曇後晴,8,1,快晴,8,1
2020/12/29,13.1,8,1,4.3,8,1,66,8,1,薄曇一時晴,8,1,晴時々薄曇,8,1
2020/12/30,12.3,8,1,2.7,8,1,68,8,1,曇一時雨,8,1,晴時々曇,8,1
2020/12/31,7.6,8,1,-0.2,8,1,34,8,1,晴,8,1,晴,8,1
2021/1/1,10.5,8,1,-1.3,8,1,40,8,1,快晴,8,1,快晴,8,1
