月日,新規感染者数,検査実施数,接触歴不明者
1月24日,1,0,0
1月25日,1,3,0
1月26日,0,0,0
1月27日,0,1,0
1月28日,0,0,0
1月29日,0,5,0
1月30日,0,2,0
1月31日,1,212,0
2月1日,0,2,0
2月2日,0,0,0
2月3日,0,0,0
2月4日,0,5,0
2月5日,0,33,0
2月6日,0,54,0
2月7日,0,10,0
2月8日,0,0,0
2月9日,0,4,0
2月10日,0,3,0
2月11日,0,0,0
2月12日,0,13,0
2月13日,0,20,0
2月14日,2,11,0
2月15日,8,156,0
2月16日,5,78,0
2月17日,0,30,0
2月18日,3,44,0
2月19日,3,96,0
2月20日,0,136,0
2月21日,3,99,0
2月22日,1,143,0
2月23日,0,29,0
2月24日,3,24,0
2月25日,0,44,0
2月26日,3,59,0
2月27日,1,191,0
2月28日,0,114,0
2月29日,1,79,0
3月1日,2,19,0
3月2日,0,87,0
3月3日,1,117,0
3月4日,4,119,0
3月5日,8,136,0
3月6日,6,161,0
3月7日,6,123,0
3月8日,0,0,0
3月9日,0,89,0
3月10日,3,115,0
3月11日,6,169,0
3月12日,2,133,0
3月13日,2,109,0
3月14日,10,91,0
3月15日,3,0,0
3月16日,0,115,0
3月17日,12,138,0
3月18日,9,186,0
3月19日,7,135,0
3月20日,11,27,0
3月21日,7,84,0
3月22日,3,5,0
3月23日,16,177,0
3月24日,18,165,0
3月25日,41,191,0
3月26日,46,196,0
3月27日,40,304,18
3月28日,64,301,27
3月29日,72,335,36
3月30日,12,299,9
3月31日,78,363,50
4月1日,67,491,44
4月2日,98,830,35
4月3日,92,906,61
4月4日,118,230,82
4月5日,141,108,96
4月6日,85,1081,76
4月7日,87,934,64
4月8日,156,1001,110
4月9日,183,938,128
4月10日,199,1100,161
4月11日,198,808,156
4月12日,174,117,71
4月13日,100,1396,85
4月14日,159,919,107
4月15日,127,113,83
4月16日,151,1556,105
4月17日,206,1388,138
4月18日,186,845,130
4月19日,109,439,67
4月20日,101,1675,77
4月21日,123,1196,81
4月22日,123,1447,74
4月23日,134,1658,85
4月24日,170,1735,81
4月25日,119,852,68
4月26日,82,476,56
4月27日,41,1747,17
4月28日,113,1196,43
4月29日,47,570,30
4月30日,59,1466,16
5月1日,165,1302,50
5月2日,154,962,73
5月3日,93,747,64
5月4日,87,999,22
5月5日,57,567,28
5月6日,37,549,11
5月7日,23,1836,15
5月8日,39,1678,16
5月9日,36,1076,20
5月10日,22,568,12
5月11日,15,1902,3
5月12日,27,1790,7
5月13日,10,1628,3
5月14日,30,1691,9
5月15日,9,1612,4
5月16日,14,930,6
5月17日,5,395,1
5月18日,10,1612,4
5月19日,5,1340,3
5月20日,5,1241,0
5月21日,11,1277,8
5月22日,3,1305,2
5月23日,2,611,1
5月24日,14,299,9
5月25日,8,1427,0
5月26日,10,1271,6
5月27日,11,1329,8
5月28日,15,1328,5
5月29日,21,1402,12
5月30日,14,680,6
5月31日,5,1309,3
6月1日,13,2058,7
6月2日,34,1575,11
6月3日,12,1851,5
6月4日,28,1874,14
6月5日,20,2143,12
6月6日,26,1133,9
6月7日,14,368,8
6月8日,13,2406,6
6月9日,12,1887,7
6月10日,18,2049,8
6月11日,22,1966,9
6月12日,25,2349,6
6月13日,24,1176,13
6月14日,47,365,9
6月15日,48,2370,13
6月16日,27,2009,16
6月17日,16,1950,10
6月18日,41,2008,22
6月19日,35,2174,18
6月20日,39,1186,14
6月21日,34,314,11
6月22日,29,2427,13
6月23日,31,2087,19
6月24日,55,2048,23
6月25日,48,2173,18
6月26日,54,2483,27
6月27日,57,1478,34
6月28日,60,419,39
6月29日,58,2949,24
6月30日,54,2514,28
7月1日,67,2682,19
7月2日,107,2772,45
7月3日,124,3168,40
7月4日,131,1800,46
7月5日,111,764,53
7月6日,102,3782,42
7月7日,106,3178,42
7月8日,75,3572,34
7月9日,224,3532,103
7月10日,243,3955,101
7月11日,206,2413,101
7月12日,206,706,92
7月13日,119,4683,64
7月14日,143,3633,64
7月15日,165,4057,87
7月16日,286,4661,137
7月17日,293,4627,142
7月18日,290,2832,158
7月19日,188,809,118
7月20日,168,4926,94
7月21日,237,4327,120
7月22日,238,5586,138
7月23日,366,247,225
7月24日,260,1636,156
7月25日,295,3240,165
7月26日,239,1094,144
7月27日,131,5818,79
7月28日,266,5143,147
7月29日,250,4795,162
7月30日,367,5473,204
7月31日,463,6153,289
8月1日,472,3862,305
8月2日,292,1057,179
8月3日,258,6549,137
8月4日,209,5456,194
8月5日,263,5823,162
8月6日,360,5632,224
8月7日,463,6040,309
8月8日,429,3834,273
8月9日,331,1430,216
8月10日,197,1614,118
8月11日,188,6861,117
8月12日,222,5580,149
8月13日,206,5358,128
8月14日,389,5384,242
8月15日,385,3371,249
8月16日,260,1185,142
8月17日,161,6269,92
8月18日,207,5725,132
8月19日,186,4942,118
8月20日,339,4301,218
8月21日,258,5283,159
8月22日,256,3057,160
8月23日,212,1012,119
8月24日,95,4891,41
8月25日,182,5709,115
8月26日,236,5698,
8月27日,250,5823,
8月28日,226,5938,
8月29日,247,3149,
8月30日,148,1057,
8月31日,100,5929,
9月1日,170,5841,
9月2日,141,5501,
9月3日,211,5533,
9月4日,136,6015,
9月5日,181,3589,
9月6日,116,1042,
9月7日,76,6244,
9月8日,170,5912,
9月9日,149,5650,
9月10日,276,5294,
9月11日,187,5864,
9月12日,226,3342,
9月13日,146,1092,
9月14日,80,6316,
9月15日,191,5462,
9月16日,163,5130,
9月17日,171,4930,
9月18日,220,5890,
9月19日,218,3655,
9月20日,162,1201,
9月21日,97,2119,
9月22日,88,2082,
9月23日,59,6890,
9月24日,193,5529,
9月25日,195,5899,
9月26日,269,3104,
9月27日,144,959,
9月28日,78,6855,
9月29日,211,6043,
9月30日,194,5481,
10月1日,234,5544,
10月2日,196,5853,
10月3日,205,3289,
10月4日,107,1204,
10月5日,65,7028,
10月6日,176,5990,
10月7日,140,5596,
10月8日,248,5503,
10月9日,203,5829,
10月10日,248,3198,
10月11日,146,1123,
10月12日,78,6903,
10月13日,166,6042,
10月14日,177,5210,
10月15日,284,5204,
10月16日,183,5749,
10月17日,235,3426,
10月18日,132,1115,
10月19日,78,6277,
10月20日,193,5497,
10月21日,145,5232,
10月22日,185,5555,
10月23日,186,5781,
10月24日,201,3078,
10月25日,124,1150,
10月26日,102,6425,
10月27日,158,5388,
10月28日,171,5118,
10月29日,220,5210,
10月30日,203,5390,
10月31日,215,2787,
11月1日,116,1158,
11月2日,87,7817,
11月3日,209,1532,
11月4日,122,6868,
11月5日,269,5933,
11月6日,242,6214,
11月7日,294,3468,
11月8日,189,1152,
11月9日,156,7552,
11月10日,293,6582,
11月11日,316,6539,
11月12日,392,7401,
11月13日,374,7487,
11月14日,352,4440,
11月15日,255,1490,
11月16日,180,9103,
11月17日,298,7248,
11月18日,485,7396,
11月19日,531,7930,
11月20日,522,8960,
11月21日,538,4910,
11月22日,390,1699,
11月23日,314,2604,
11月24日,186,10407,
11月25日,400,8193,
11月26日,481,7628,
11月27日,569,8954,
11月28日,561,4829,
11月29日,418,1512,
11月30日,311,9305,
12月1日,370,8014,
12月2日,500,8291,
12月3日,532,8061,
12月4日,449,9646,
12月5日,583,4692,
12月6日,327,1496,
12月7日,299,10442,
12月8日,351,8638,
12月9日,572,9051,
12月10日,600,8654,
12月11日,595,9338,
12月12日,620,5179,
12月13日,480,1994,
12月14日,305,11580,
12月15日,457,10038,
12月16日,678,9351,
12月17日,821,9793,
12月18日,664,10142,
12月19日,736,5886,
12月20日,556,2221,
12月21日,392,13025,
12月22日,563,10937,
12月23日,748,10180,
12月24日,888,9697,
12月25日,884,10248,
12月26日,949,6180,
12月27日,708,2345,
12月28日,481,10504,
12月29日,856,6363,
12月30日,944,3816,
12月31日,1337,5033,
